raceId,year,name,retired,completed,reason,frequency_counts,retired_percentage
50,2007,Japanese Grand Prix,12,10,"['+1 Lap', '+1 Lap', 'Collision', 'Collision', 'Collision', 'Collision', 'Suspension', 'Accident', 'Electronics', 'Puncture', 'Throttle', 'Technical']","{'+1 Lap': 2, 'Collision': 4, 'Suspension': 1, 'Accident': 1, 'Electronics': 1, 'Puncture': 1, 'Throttle': 1, 'Technical': 1}",0.5454545454545454
51,2007,Chinese Grand Prix,11,11,"['+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', 'Spun off', 'Spun off', 'Accident', '+2 Laps', 'Hydraulics', 'Brakes', '+3 Laps']","{'+1 Lap': 4, 'Spun off': 2, 'Accident': 1, '+2 Laps': 1, 'Hydraulics': 1, 'Brakes': 1, '+3 Laps': 1}",0.5
52,2007,Brazilian Grand Prix,16,6,"['+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', 'Collision', 'Collision', 'Accident', 'Engine', 'Engine', '+2 Laps', '+2 Laps', 'Hydraulics', 'Gearbox', 'Brakes', '+3 Laps']","{'+1 Lap': 5, 'Collision': 2, 'Accident': 1, 'Engine': 2, '+2 Laps': 2, 'Hydraulics': 1, 'Gearbox': 1, 'Brakes': 1, '+3 Laps': 1}",0.7272727272727273
53,2006,Bahrain Grand Prix,11,11,"['+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', 'Engine', '+2 Laps', 'Hydraulics', '+4 Laps', 'Mechanical', 'Driveshaft']","{'+1 Lap': 5, 'Engine': 1, '+2 Laps': 1, 'Hydraulics': 1, '+4 Laps': 1, 'Mechanical': 1, 'Driveshaft': 1}",0.5
54,2006,Malaysian Grand Prix,14,8,"['+1 Lap', '+1 Lap', 'Accident', 'Engine', 'Engine', '+2 Laps', '+2 Laps', '+2 Laps', 'Hydraulics', 'Hydraulics', 'Hydraulics', '+3 Laps', 'Clutch', 'Mechanical']","{'+1 Lap': 2, 'Accident': 1, 'Engine': 2, '+2 Laps': 3, 'Hydraulics': 3, '+3 Laps': 1, 'Clutch': 1, 'Mechanical': 1}",0.6363636363636364
55,2006,Australian Grand Prix,13,9,"['+1 Lap', '+1 Lap', 'Accident', 'Accident', 'Accident', 'Accident', 'Accident', 'Accident', '+2 Laps', '+3 Laps', 'Transmission', 'Electrical', 'Mechanical']","{'+1 Lap': 2, 'Accident': 6, '+2 Laps': 1, '+3 Laps': 1, 'Transmission': 1, 'Electrical': 1, 'Mechanical': 1}",0.5909090909090909
56,2006,San Marino Grand Prix,10,12,"['+1 Lap', '+1 Lap', '+1 Lap', 'Suspension', 'Spun off', 'Accident', '+2 Laps', 'Hydraulics', 'Driveshaft', 'Steering']","{'+1 Lap': 3, 'Suspension': 1, 'Spun off': 1, 'Accident': 1, '+2 Laps': 1, 'Hydraulics': 1, 'Driveshaft': 1, 'Steering': 1}",0.45454545454545453
57,2006,European Grand Prix,14,8,"['+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', 'Accident', 'Accident', 'Engine', 'Engine', 'Engine', 'Hydraulics', 'Hydraulics', 'Hydraulics', 'Gearbox']","{'+1 Lap': 5, 'Accident': 2, 'Engine': 3, 'Hydraulics': 3, 'Gearbox': 1}",0.6363636363636364
58,2006,Spanish Grand Prix,16,6,"['+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', 'Spun off', 'Engine', 'Electronics', 'Hydraulics', '+3 Laps', '+4 Laps', 'Driveshaft', 'Broken wing']","{'+1 Lap': 8, 'Spun off': 1, 'Engine': 1, 'Electronics': 1, 'Hydraulics': 1, '+3 Laps': 1, '+4 Laps': 1, 'Driveshaft': 1, 'Broken wing': 1}",0.7272727272727273
59,2006,Monaco Grand Prix,16,6,"['+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', '+1 Lap', 'Accident', '+2 Laps', 'Hydraulics', '+3 Laps', 'Transmission', 'Electrical', 'Heat shield fire', 'Exhaust']","{'+1 Lap': 8, 'Accident': 1, '+2 Laps': 1, 'Hydraulics': 1, '+3 Laps': 1, 'Transmission': 1, 'Electrical': 1, 'Heat shield fire': 1, 'Exhaust': 1}",0.7272727272727273
