raceId,driverId,milliseconds,time,lap,year,driver
845,20,87205,1:27.205,61,2011,Sebastian Vettel
845,20,87675,1:27.675,62,2011,Sebastian Vettel
845,20,87480,1:27.480,63,2011,Sebastian Vettel
845,20,88065,1:28.065,64,2011,Sebastian Vettel
845,20,87842,1:27.842,65,2011,Sebastian Vettel
845,20,88382,1:28.382,66,2011,Sebastian Vettel
846,20,84839,1:24.839,1,2011,Sebastian Vettel
846,20,80269,1:20.269,2,2011,Sebastian Vettel
846,20,79811,1:19.811,3,2011,Sebastian Vettel
846,20,79485,1:19.485,4,2011,Sebastian Vettel
846,20,79537,1:19.537,5,2011,Sebastian Vettel
846,20,79756,1:19.756,6,2011,Sebastian Vettel
846,20,79795,1:19.795,7,2011,Sebastian Vettel
846,20,79388,1:19.388,8,2011,Sebastian Vettel
846,20,79688,1:19.688,9,2011,Sebastian Vettel
846,20,79558,1:19.558,10,2011,Sebastian Vettel
846,20,79696,1:19.696,11,2011,Sebastian Vettel
846,20,79732,1:19.732,12,2011,Sebastian Vettel
846,20,80446,1:20.446,13,2011,Sebastian Vettel
846,20,80049,1:20.049,14,2011,Sebastian Vettel
846,20,81288,1:21.288,15,2011,Sebastian Vettel
846,20,102038,1:42.038,16,2011,Sebastian Vettel
846,20,83336,1:23.336,17,2011,Sebastian Vettel
846,20,80240,1:20.240,18,2011,Sebastian Vettel
846,20,79655,1:19.655,19,2011,Sebastian Vettel
846,20,79507,1:19.507,20,2011,Sebastian Vettel
846,20,79083,1:19.083,21,2011,Sebastian Vettel
846,20,79701,1:19.701,22,2011,Sebastian Vettel
846,20,79083,1:19.083,23,2011,Sebastian Vettel
846,20,79267,1:19.267,24,2011,Sebastian Vettel
846,20,79815,1:19.815,25,2011,Sebastian Vettel
846,20,80228,1:20.228,26,2011,Sebastian Vettel
846,20,79166,1:19.166,27,2011,Sebastian Vettel
846,20,78871,1:18.871,28,2011,Sebastian Vettel
846,20,78598,1:18.598,29,2011,Sebastian Vettel
846,20,79110,1:19.110,30,2011,Sebastian Vettel
846,20,79207,1:19.207,31,2011,Sebastian Vettel
846,20,78733,1:18.733,32,2011,Sebastian Vettel
846,20,79513,1:19.513,33,2011,Sebastian Vettel
846,20,86283,1:26.283,34,2011,Sebastian Vettel
846,20,128925,2:08.925,35,2011,Sebastian Vettel
846,20,121496,2:01.496,36,2011,Sebastian Vettel
846,20,117606,1:57.606,37,2011,Sebastian Vettel
