raceId,year,country,circuitId,grandprix,circuit,lat,lng,milliseconds,datetime,date,url,temp,clouds,wind_speed,wind_deg,weather_before,weather_main,weather_desc,precipitation,weather_during,Scheduled Laps,Laps
951,2016,Russia,71,Russian Grand Prix,Sochi Autodrom,43.4057,39.9578,5561997,2016-05-01 12:00:00,2016-05-01,http://en.wikipedia.org/wiki/2016_Russian_Grand_Prix,17.14,40.0,3.6,180.0,Clouds,Clouds,scattered clouds,,Clouds,53,53
952,2016,Spain,4,Spanish Grand Prix,Circuit de Barcelona-Catalunya,41.57,2.26111,6100017,2016-05-15 12:00:00,2016-05-15,http://en.wikipedia.org/wiki/2016_Spanish_Grand_Prix,23.4,40.0,5.7,120.0,Clouds,Clouds,scattered clouds,,Clouds,66,66
953,2016,Monaco,6,Monaco Grand Prix,Circuit de Monaco,43.7347,7.42056,7169133,2016-05-29 12:00:00,2016-05-29,http://en.wikipedia.org/wiki/2016_Monaco_Grand_Prix,17.59,75.0,4.63,200.0,Rain,Rain,light rain,0.16,Clouds,78,78
954,2016,Canada,7,Canadian Grand Prix,Circuit Gilles Villeneuve,45.5,-73.5228,5465296,2016-06-12 18:00:00,2016-06-12,http://en.wikipedia.org/wiki/2016_Canadian_Grand_Prix,12.14,100.0,7.2,290.0,Rain,Clouds,overcast clouds,,Clouds,70,70
955,2016,Azerbaijan,73,European Grand Prix,Baku City Circuit,40.3725,49.8533,5572366,2016-06-19 13:00:00,2016-06-19,http://en.wikipedia.org/wiki/2016_European_Grand_Prix,26.97,0.0,5.7,350.0,Clouds,Clear,clear sky,,Clear,51,51
956,2016,Austria,70,Austrian Grand Prix,Red Bull Ring,47.2197,14.7647,5258107,2016-07-03 12:00:00,2016-07-03,http://en.wikipedia.org/wiki/2016_Austrian_Grand_Prix,15.58,75.0,1.03,0.0,Rain,Clouds,broken clouds,,Rain,71,71
957,2016,England,9,British Grand Prix,Silverstone Circuit,52.0786,-1.01694,5695831,2016-07-10 12:00:00,2016-07-10,http://en.wikipedia.org/wiki/2016_British_Grand_Prix,19.84,32.0,6.78,216.0,Rain,Clouds,scattered clouds,,Clouds,52,52
958,2016,Hungary,11,Hungarian Grand Prix,Hungaroring,47.5789,19.2486,6030115,2016-07-24 12:00:00,2016-07-24,http://en.wikipedia.org/wiki/2016_Hungarian_Grand_Prix,28.46,0.0,3.6,120.0,Clear,Clear,clear sky,,Clear,70,70
959,2016,Germany,10,German Grand Prix,Hockenheimring,49.3278,8.56583,5444200,2016-07-31 12:00:00,2016-07-31,http://en.wikipedia.org/wiki/2016_German_Grand_Prix,24.53,0.0,3.1,290.0,Clear,Clear,clear sky,,Clear,67,67
960,2016,Belgium,13,Belgian Grand Prix,Circuit de Spa-Francorchamps,50.4372,5.97139,6291058,2016-08-28 12:00:00,2016-08-28,http://en.wikipedia.org/wiki/2016_Belgian_Grand_Prix,24.9,20.0,5.0,270.0,Clouds,Clouds,few clouds,,Clouds,44,44
